Steps,Avg. Return,WinRate
1000000,1275.28,17
2000000,1679.62,36
3000000,2078.4,64
4000000,2471.24,86
5000000,2561.97,94
6000000,2647.11,98
7000000,2593.47,96
8000000,2606.53,97
9000000,2667.9,99
10000000,2672.01,99
