Steps,Avg. Return,WinRate
2000000,434.08,0.0
4000000,746.75,0.0
6000000,857.59,0.0
8000000,915.76,0.0
10000000,965.29,0.0
12000000,969.9,0.0
14000000,1022.23,0.0
16000000,998.49,0.0
18000000,1028.26,0.0
20000000,1023.92,0.0
22000000,1028.29,0.0
24000000,1026.88,0.0
26000000,1026.77,0.0
28000000,1019.41,0.0
30000000,1028.43,0.0
32000000,1021.01,0.0
34000000,1027.01,0.0
36000000,1028.55,0.0
38000000,1026.96,0.0
40000000,1028.57,0.0
42000000,1025.51,0.0
44000000,1039.09,0.01
46000000,1037.61,0.01
48000000,1043.71,0.02
50000000,1031.44,0.0
52000000,1049.76,0.02
54000000,1045.6,0.02
56000000,1029.13,0.0
58000000,1036.78,0.01
60000000,1029.09,0.0
62000000,1473.57,0.42
64000000,1854.87,0.78
66000000,1958.31,0.86
68000000,1906.52,0.8
70000000,1940.56,0.87
72000000,1978.32,0.89
74000000,1950.8,0.87
76000000,1874.91,0.8
78000000,2003.71,0.91
80000000,1927.95,0.84
82000000,1944.66,0.85
84000000,1987.19,0.9
86000000,1943.41,0.86
88000000,1940.28,0.86
90000000,2007.0,0.92
92000000,1911.7,0.84
94000000,2078.51,0.99
96000000,2035.64,0.95
98000000,2004.08,0.92
100000000,2035.7,0.95
