Steps,Avg. Return,WinRate
2000000,325.18,0
4000000,449.58,0
6000000,481.28,0
8000000,541.55,0
10000000,621.11,0
12000000,586.92,0
14000000,666.11,0
16000000,781.14,0
18000000,889.16,0
20000000,1136.3,0
22000000,1134.61,0
24000000,1286.07,0
26000000,1307.99,0
28000000,1354.43,0
30000000,1329.57,0
