Steps,Avg. Return,WinRate
5000000,761.36,0.13
10000000,981.81,0.26
15000000,1016.55,0.31
20000000,1261.57,0.46
25000000,1408.62,0.54
30000000,1569.21,0.66
35000000,1489.52,0.6
40000000,1605.87,0.68
45000000,1733.52,0.76
50000000,1506.78,0.61
55000000,1802.37,0.8
60000000,1765.0,0.77
65000000,1844.99,0.83
70000000,1857.17,0.81
75000000,1844.95,0.83
80000000,1899.0,0.85
85000000,1891.98,0.85
90000000,1932.06,0.88
95000000,1838.7,0.83
100000000,1836.39,0.82
105000000,1997.89,0.94
110000000,1961.23,0.9
115000000,1807.91,0.8
120000000,1957.83,0.9
125000000,1957.39,0.91
130000000,1907.79,0.88
135000000,1951.17,0.91
140000000,1963.74,0.92
145000000,2015.45,0.95
150000000,2009.7,0.94
155000000,1961.6,0.89
160000000,1987.61,0.92
165000000,2037.1,0.97
170000000,1946.4,0.9
175000000,2004.22,0.95
180000000,2006.34,0.94
185000000,2022.1,0.94
190000000,1953.3,0.92
195000000,1976.01,0.92
200000000,2055.2,0.98
