Steps,Avg. Return,WinRate
5000000,1206.66,0.23
10000000,1480.97,0.42
15000000,1503.3,0.44
20000000,1552.21,0.51
25000000,1844.22,0.76
30000000,1879.9,0.81
35000000,1785.34,0.73
40000000,1851.93,0.79
45000000,1951.4,0.85
50000000,1874.73,0.8
55000000,1929.04,0.86
60000000,1962.53,0.88
65000000,1979.43,0.9
70000000,2008.51,0.92
75000000,1950.46,0.87
80000000,2056.99,0.97
85000000,1990.39,0.91
90000000,2004.91,0.92
95000000,1928.65,0.85
100000000,1976.62,0.9
105000000,1982.79,0.9
110000000,2032.85,0.95
115000000,1995.08,0.91
120000000,2058.17,0.97
125000000,2016.39,0.93
130000000,2023.8,0.93
135000000,2057.37,0.97
140000000,1993.99,0.91
145000000,2079.78,0.99
150000000,2065.0,0.98
155000000,2024.16,0.94
160000000,1975.57,0.89
165000000,2044.99,0.95
170000000,2048.18,0.96
175000000,2034.74,0.95
180000000,2021.95,0.93
185000000,2059.23,0.97
190000000,2056.27,0.97
195000000,2005.01,0.93
200000000,2061.98,0.97
