Steps,Avg. Return,WinRate
2000000,894.0627593999992,0
4000000,1180.8650479999997,1
6000000,1176.0801320999994,0
8000000,1235.0703779999994,0
10000000,1226.7510869999996,0
12000000,1289.1452409999997,0
14000000,1823.743913999999,3
16000000,2165.1827260000005,30
18000000,2457.1083409999987,39
20000000,2638.7455239999986,56
22000000,2785.3878429999986,73
24000000,2909.5075449999986,81
26000000,2976.995843999998,88
28000000,3076.8099949999996,96
30000000,3077.5674659999995,97
32000000,3038.110624999997,96
34000000,3069.407357999999,96
36000000,3087.5172260000004,98
38000000,3087.0927889999994,99
40000000,3072.315867999999,97
