Steps,Avg. Return,WinRate
5000000,1361.21,0.32
10000000,1589.63,0.56
15000000,1705.28,0.65
20000000,1720.53,0.67
25000000,1760.06,0.69
30000000,2018.32,0.93
35000000,1983.43,0.9
40000000,2053.43,0.96
45000000,2047.33,0.95
50000000,2064.2,0.97
55000000,2040.3,0.96
60000000,2046.37,0.96
65000000,2081.2,0.99
