Steps,Avg. Return,WinRate
2000000,1307.005299399999,6
4000000,1559.4088296000002,14
6000000,1688.3932368999997,23
8000000,2206.0129581999995,42
10000000,2373.503739699999,57
12000000,2716.6695872,67
14000000,2952.9273973999993,82
16000000,2982.6680765,86
18000000,3080.0534214000004,90
20000000,3084.201850999999,86
22000000,3066.206709,90
24000000,3210.4424110000004,97
26000000,3182.0615612999995,97
28000000,3189.8690053,98
30000000,3237.1391849999986,99
32000000,3229.2146939999984,98
34000000,3211.6933920000006,96
36000000,3206.928419800001,98
38000000,3232.0567419999993,99
40000000,3237.329327,99
