Steps,Avg. Return,WinRate
100000,836.74,4
200000,748.28,3
300000,707.91,4
400000,832.19,1
500000,736.42,3
600000,715.18,3
700000,710.05,1
800000,811.3,1
900000,504.29,0
1000000,895.37,3
1500000,888.86,3
2000000,997.57,4
2500000,893.67,3
3000000,812.43,0
3500000,893.88,4
4000000,743.7,5
4500000,986.28,8
5000000,911.87,10
