Aux-input,WinRate,Avg. Return,Avg. Length,Num. of Invalid Levels
-1,0.0,0.0,39.39,100
-0.5,0.0,0.0,40.36,100
0,0.0,0.0,40.27,100
0.5,0.0,0.0,40.53,100
1,0.0,0.0,39.91,100
