Aux-input,WinRate,Avg. Return,Avg. Length,Per. Invalid Levels
-1,0.01,20.95,4.14,0.99
-0.5,0.01,25.14,3.08,0.97
0,0.0,14.28,4.68,0.97
0.5,0.01,31.09,5.14,0.97
1,0.01,20.96,4.01,0.99
