Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.01,348.282,13.19
-0.5,0.049,423.23,14.79
0,0.013,301.048,15.19
0.5,0.029,330.628,15.96
1,0.018,339.205,15.79
