Aux-input,WinRate,Avg. Return,Avg. Length,Num. of Invalid Levels
-1,0.0,0.0,41.0,100
-0.5,0.0,0.0,41.0,100
0,0.0,0.0,40.67,100
0.5,0.0,0.0,40.86,100
1,0.0,0.0,41.0,100
