Aux-input,WinRate,Avg. Return,Avg. Length,Per. Invalid Levels
-1,0.0,0.0,19.88,1.0
-0.5,0.0,0.0,19.86,1.0
0,0.0,0.0,19.88,1.0
0.5,0.0,0.0,19.79,1.0
1,0.0,0.0,19.99,1.0
