Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.17,901.025,9.08
-0.5,0.239,1012.399,9.14
0,0.275,1067.935,9.29
0.5,0.341,1091.349,8.89
1,0.344,1072.761,9.66
