Aux-input,WinRate,Avg. Return,Avg. Length,Num. of Invalid Levels
-1,0.0,0.0,39.12,100
-0.5,0.0,0.0,41.0,100
0,0.0,0.0,38.15,100
0.5,0.0,0.0,40.37,100
1,0.0,0.0,39.34,100
