Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.068,961.822,2.23
-0.5,0.094,971.594,2.53
0,0.111,1021.375,2.42
0.5,0.164,1083.356,2.28
1,0.135,1038.004,2.56
