Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.0,-11.341,22.0
-0.5,0.0,-12.316,22.0
0,0.0,-10.307,22.0
0.5,0.0,-11.863,22.0
1,0.0,-10.855,22.0
