Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.429,1538.287,19.63
-0.5,0.407,1518.44,19.65
0,0.425,1561.792,19.23
0.5,0.377,1497.485,19.64
1,0.445,1564.167,19.45
