Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.0,-15.258,22.0
-0.5,0.0,-14.665,22.0
0,0.0,-15.111,22.0
0.5,0.0,-15.259,22.0
1,0.0,-15.108,22.0
