Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.412,1332.874,2.0
-0.5,0.44,1375.561,2.03
0,0.451,1383.6,2.04
0.5,0.429,1353.639,2.0
1,0.422,1347.857,2.01
