Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.066,843.327,2.42
-0.5,0.183,1045.673,2.07
0,0.14,947.498,2.38
0.5,0.121,961.465,2.1
1,0.097,925.641,2.3
