Aux-input,WinRate,Avg. Return,Avg. Length,Per. Invalid Levels
-1,0.0,0.0,19.94,1.0
-0.5,0.0,0.0,19.91,1.0
0,0.0,0.0,19.89,1.0
0.5,0.0,0.0,19.9,1.0
1,0.0,0.0,19.91,1.0
