Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.542,1406.842,1.0
-0.5,0.572,1479.778,1.01
0,0.529,1363.866,1.0
0.5,0.547,1397.652,1.0
1,0.609,1546.724,1.0
