Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.001,123.259,17.69
-0.5,0.006,108.106,17.78
0,0.0,121.934,16.92
0.5,0.0,130.213,17.55
1,0.01,170.647,17.05
