Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.032,815.485,2.73
-0.5,0.022,774.105,2.87
0,0.042,827.454,2.36
0.5,0.029,783.699,3.24
1,0.044,835.667,2.43
