Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.411,1497.491,160.0
-0.5,0.381,1462.24,160.0
0,0.388,1476.322,160.0
0.5,0.388,1475.576,160.0
1,0.412,1497.972,160.0
