Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.0,90.8,160.0
-0.5,0.0,78.8,160.0
0,0.0,77.45,160.0
0.5,0.0,80.3,160.0
1,0.0,90.5,160.0
