Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.497,1346.541,1.11
-0.5,0.518,1406.411,1.14
0,0.458,1312.885,1.12
0.5,0.572,1448.863,1.06
1,0.452,1284.06,1.1
