Aux-input,WinRate,Avg. Return,Avg. Length,Per. Invalid Levels
-1,0.0,0.0,19.33,1.0
-0.5,0.0,0.0,19.38,1.0
0,0.0,0.0,19.34,1.0
0.5,0.0,0.0,19.37,1.0
1,0.0,0.0,19.34,1.0
