Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.112,960.395,3.89
-0.5,0.197,1087.216,4.37
0,0.144,1003.186,4.62
0.5,0.172,1009.114,4.31
1,0.183,1042.747,4.52
