Aux-input,WinRate,Avg. Return,Avg. Length,Per. Invalid Levels
-1,0.0,0.0,20.09,1.0
-0.5,0.0,0.0,19.96,1.0
0,0.0,0.0,19.98,1.0
0.5,0.0,0.0,20.05,1.0
1,0.0,0.0,19.95,1.0
