Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.083,840.175,2.67
-0.5,0.146,951.597,2.74
0,0.101,860.694,2.82
0.5,0.123,913.819,2.76
1,0.165,993.894,2.52
