Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.753,1692.575,40.69
-0.5,0.76,1705.643,41.0
0,0.744,1681.374,40.64
0.5,0.766,1712.224,41.0
1,0.751,1690.212,41.0
