Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.609,1582.461,2.71
-0.5,0.595,1578.703,2.59
0,0.54,1501.833,2.69
0.5,0.525,1497.492,2.88
1,0.571,1547.403,2.87
