Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.024,117.022,21.16
-0.5,0.0,59.992,21.18
0,0.015,181.497,18.43
0.5,0.002,133.048,19.3
1,0.013,98.234,20.79
