Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.033,212.888,19.22
-0.5,0.021,289.729,16.07
0,0.024,271.892,16.45
0.5,0.011,256.678,17.13
1,0.022,254.414,16.91
