Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.03,408.396,9.52
-0.5,0.038,379.001,10.83
0,0.019,395.572,10.06
0.5,0.044,479.066,8.72
1,0.022,383.548,9.98
