Aux-input,WinRate,Avg. Return,Avg. Length,Num. of Invalid Levels
-1,0.0,0.0,40.4,100
-0.5,0.0,0.0,40.04,100
0,0.0,0.0,40.5,100
0.5,0.0,0.0,40.32,100
1,0.0,0.0,40.56,100
