Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.0,251.385,41.0
-0.5,0.0,242.377,41.0
0,0.0,290.349,41.0
0.5,0.0,275.992,41.0
1,0.0,295.756,41.0
