Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.028,276.268,15.8
-0.5,0.029,208.54,17.16
0,0.009,182.445,17.67
0.5,0.017,188.761,17.15
1,0.036,279.876,16.87
