Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.017,246.61,12.24
-0.5,0.023,280.576,11.72
0,0.019,259.486,11.64
0.5,0.002,170.921,12.86
1,0.007,228.333,11.96
