Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.169,1067.042,4.07
-0.5,0.179,1019.02,4.67
0,0.218,1108.804,3.82
0.5,0.244,1147.407,4.15
1,0.234,1070.911,4.63
