Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.971,2057.447,1.05
-0.5,0.969,2054.778,1.02
0,0.992,2085.872,1.03
0.5,0.975,2062.736,1.01
1,0.985,2076.776,1.05
