Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.002,131.922,15.86
-0.5,0.006,134.138,16.08
0,0.003,151.435,15.31
0.5,0.006,155.887,15.16
1,0.001,141.654,15.54
