Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.054,550.871,9.49
-0.5,0.055,518.275,10.27
0,0.046,541.12,9.61
0.5,0.047,518.971,10.59
1,0.041,580.504,8.94
