Aux-input,WinRate,Avg. Return,Avg. Length,Num. of Invalid Levels
-1,0.14,808.279,4.08,25
-0.5,0.163,897.394,4.18,17
0,0.182,941.998,3.86,14
0.5,0.156,850.958,4.5,22
1,0.187,960.823,4.82,10
