Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.121,879.81,3.11
-0.5,0.099,900.79,2.38
0,0.152,925.447,3.31
0.5,0.148,949.028,2.65
1,0.129,939.867,2.64
