Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.179,1006.691,2.35
-0.5,0.151,973.019,2.36
0,0.161,991.654,2.37
0.5,0.192,1046.783,2.45
1,0.182,1034.767,2.44
