Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.0,-15.001,35.0
-0.5,0.0,-15.0,35.0
0,0.0,-15.0,35.0
0.5,0.0,-15.0,35.0
1,0.0,-15.0,35.0
