Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.495,1447.602,2.08
-0.5,0.517,1471.631,2.11
0,0.508,1465.644,2.1
0.5,0.487,1431.734,2.08
1,0.491,1433.988,2.07
