Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.417,1376.966,2.54
-0.5,0.438,1384.886,2.59
0,0.443,1390.55,2.56
0.5,0.52,1481.313,2.55
1,0.463,1418.846,2.57
