Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.987,2065.485,160.0
-0.5,0.952,2001.683,160.0
0,0.958,2009.756,160.0
0.5,0.979,2050.184,160.0
1,0.95,1986.304,160.0
