Aux-input,WinRate,Avg. Return,Avg. Length,Per. Invalid Levels
-1,0.0,0.0,19.99,1.0
-0.5,0.0,0.0,20.0,1.0
0,0.0,0.0,19.99,1.0
0.5,0.0,0.0,19.99,1.0
1,0.0,0.0,19.99,1.0
