Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.491,1347.079,1.75
-0.5,0.445,1353.242,1.94
0,0.504,1318.4,2.02
0.5,0.422,1231.482,1.65
1,0.383,1193.775,1.75
