Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.195,862.468,7.68
-0.5,0.166,841.25,6.67
0,0.211,918.102,6.64
0.5,0.196,895.041,6.38
1,0.176,795.064,8.27
