Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.018,201.136,23.25
-0.5,0.01,158.065,20.69
0,0.014,157.792,22.24
0.5,0.022,196.082,23.11
1,0.034,195.403,22.96
