Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.299,1255.303,2.01
-0.5,0.3,1255.176,2.1
0,0.261,1211.649,2.04
0.5,0.265,1216.645,2.08
1,0.37,1343.553,2.05
