Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.0,167.079,18.11
-0.5,0.0,185.615,18.0
0,0.0,176.94,17.96
0.5,0.001,188.707,17.85
1,0.0,165.272,17.94
