Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.016,176.08,14.98
-0.5,0.005,148.036,16.4
0,0.019,201.203,15.7
0.5,0.017,223.145,14.71
1,0.014,198.123,14.23
