Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.745,1685.939,40.85
-0.5,0.746,1678.277,39.64
0,0.764,1708.476,40.89
0.5,0.756,1694.217,40.1
1,0.76,1708.922,40.53
