Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.012,167.459,17.78
-0.5,0.02,186.998,17.09
0,0.014,188.841,17.71
0.5,0.009,220.521,16.0
1,0.017,243.818,15.41
