Aux-input,WinRate,Avg. Return,Avg. Length
-1,0.011,242.09,12.97
-0.5,0.011,211.529,13.21
0,0.013,200.108,12.37
0.5,0.034,248.571,12.74
1,0.011,214.989,12.93
