Aux-input,WinRate,Avg. Return,Avg. Length, Per. Invalid Levels
-1,0.41,1316.398,3.36,0.99
-0.5,0.464,1372.903,5.14,0.97
0,0.513,1431.927,4.25,0.97
0.5,0.417,1315.362,4.73,0.97
1,0.444,1362.965,3.73,0.99
